state,i_urban,age,i_asian,i_black,i_hispanic,i_indigenous,i_white,i_female,i_male,i_grad_college,i_married,personal_income,i_foodstamps,i_health_insurance,i_internet,time_depart,time_arrive,time_commuting
AR,0,42,0,0,0,0,1,0,1,1,1,8,0,1,1,427,444,15
AR,0,32,0,0,0,0,1,1,0,1,1,4.5,0,1,1,422,434,10
AR,0,28,0,0,0,0,1,1,0,0,0,0.3,0,1,1,1325,1329,5
AR,0,22,0,0,0,0,1,1,0,0,0,2.8,0,1,1,437,474,35
AR,0,53,0,0,0,0,1,1,0,0,1,3.6,0,1,1,417,419,4
AR,0,34,0,0,0,0,1,0,1,0,0,3.2,0,1,1,362,409,45
AR,0,71,0,0,0,0,1,1,0,0,0,3.35,0,1,1,875,889,15
AR,0,54,0,0,0,0,1,0,1,0,1,3.2,0,1,1,275,289,15
AR,0,40,0,0,0,0,1,1,0,1,1,6.6,0,1,1,362,404,40
AR,0,58,0,0,0,0,1,0,1,0,1,1,0,1,1,482,494,10
AR,0,27,0,0,0,0,1,1,0,0,0,2.13,1,1,1,432,484,50
AR,0,32,0,0,0,0,1,0,1,1,0,1.96,0,1,1,725,749,25
AR,0,33,0,1,0,0,0,0,1,0,1,3.35,1,1,1,482,494,10
AR,0,49,0,0,0,0,1,0,1,0,0,4.6,0,1,0,377,409,30
AR,0,37,0,0,0,0,1,0,1,0,1,2.48,1,1,1,392,414,20
AR,0,34,0,0,0,0,1,0,1,0,1,2.5,0,1,0,245,289,45
AR,0,50,0,0,0,0,1,1,0,1,1,5.2,0,1,1,452,469,15
AR,0,20,0,0,0,0,1,0,1,0,0,0.3,0,1,1,442,504,60
AR,0,18,0,1,0,0,0,1,0,0,0,1.98,0,1,1,467,479,10
AR,0,37,0,0,0,0,1,0,1,1,1,8,0,1,1,542,579,35
AR,0,21,0,0,0,0,1,0,1,0,0,2.5,0,1,1,725,744,20
AR,0,37,0,0,0,0,1,0,1,0,1,4,0,1,1,377,424,45
AR,1,44,0,0,0,0,1,0,1,0,1,8.5,0,0,1,422,444,20
AR,1,61,0,0,0,0,1,0,1,0,0,8.5,0,1,1,452,464,10
AR,1,52,0,0,0,0,1,1,0,1,1,4.8,0,1,1,422,459,35
AR,1,56,0,1,0,0,0,1,0,0,1,3.09,0,1,0,452,474,20
AR,1,39,1,0,0,0,0,0,1,1,1,10.2,0,1,1,452,464,10
