state,i_urban,age,i_asian,i_black,i_hispanic,i_indigenous,i_white,i_female,i_male,education,i_grad_college,i_married,personal_income,i_foodstamps,i_health_insurance,i_internet,time_depart,time_arrive,time_commuting
AZ,1,22,0,0,0,0,1,1,0,12,0,0,2.2,0,1,1,542,559,15
AZ,1,56,0,0,1,0,1,1,0,16,1,0,8.4,0,1,1,512,549,35
AZ,1,41,0,0,1,0,1,0,1,12,0,1,21,0,1,1,302,319,15
AZ,1,50,0,0,0,0,1,1,0,16,1,1,7.5,0,1,1,327,349,20
AZ,1,33,0,0,0,0,1,1,0,16,1,0,5.4,0,1,1,512,534,20
AZ,1,69,0,0,0,0,1,0,1,17,1,1,2.7,0,1,1,705,749,40
AZ,1,48,0,0,0,0,1,1,0,17,1,0,7,0,1,1,1025,1069,45
AZ,1,29,0,0,0,0,1,0,1,13,0,1,4.57,0,1,1,422,484,60
AZ,1,18,0,0,0,0,1,1,0,12,0,0,1.5,0,1,1,1325,1339,15
AZ,1,59,0,0,0,0,1,1,0,17,1,0,2.76,0,1,1,605,614,10
AZ,1,34,0,0,0,0,1,1,0,16,1,0,3.8,0,1,1,402,429,25
AZ,1,36,0,0,0,0,1,0,1,14,0,1,7.5,0,1,1,422,484,60
AZ,1,44,0,0,0,0,1,0,1,14,0,0,4.8,0,1,1,392,424,30
AZ,1,18,0,0,1,0,1,0,1,12,0,0,3.02,0,0,1,362,424,60
AZ,1,30,0,0,0,0,1,1,0,12,0,0,0.62,0,1,1,422,439,15
AZ,1,51,0,0,1,0,1,0,1,12,0,1,3.5,1,1,1,302,329,25
AZ,1,65,0,0,0,1,0,1,0,13,0,1,5.8,0,1,0,587,589,3
AZ,1,63,0,1,0,0,0,0,1,16,1,1,6.6,0,1,1,362,379,15
AZ,1,23,0,0,0,0,1,1,0,16,1,1,1.4,0,1,1,387,429,40
AZ,1,20,0,0,1,0,0,0,1,12,0,0,0.038,0,1,1,245,284,40
AZ,1,41,1,0,0,0,0,1,0,16,1,1,9,0,1,1,482,514,30
AZ,1,28,0,0,0,0,1,0,1,16,1,1,4,0,1,1,362,394,30
AZ,1,44,0,1,0,0,0,0,1,16,1,1,5,0,1,1,362,414,50
AZ,1,49,0,0,0,0,1,1,0,17,1,0,6.8,0,1,1,635,644,10
AZ,1,27,0,0,0,0,1,0,1,14,0,1,5,0,1,1,382,444,60
AZ,1,56,0,0,0,0,1,0,1,16,1,1,20,0,1,1,512,604,90
AZ,1,44,0,0,0,0,1,0,1,16,1,0,7.42,0,1,1,855,869,12
AZ,1,34,1,0,0,0,0,1,0,12,0,0,2.5,0,1,1,512,549,35
AZ,1,57,0,0,0,0,1,1,0,13,0,0,22,0,1,1,542,549,5
AZ,1,60,0,0,0,0,1,0,1,16,1,0,1.442,0,1,1,512,529,15
AZ,1,24,0,0,1,0,0,0,1,14,0,0,4.7,0,0,1,377,454,75
AZ,1,28,0,0,0,0,1,0,1,12,0,1,3.5,0,1,1,482,514,30
AZ,1,24,0,0,0,0,1,0,1,13,0,0,1.2,0,1,1,295,299,5
AZ,1,48,0,0,0,0,1,1,0,17,1,1,4,1,0,1,512,544,30
AZ,1,29,0,0,0,0,1,1,0,16,1,0,3.9,0,1,1,605,614,10
AZ,1,51,0,0,0,0,1,0,1,13,0,1,9.9,0,1,1,332,354,20
AZ,1,47,0,0,0,0,1,0,1,12,0,1,4.5,0,1,1,785,829,45
AZ,1,35,0,0,0,1,0,1,0,16,1,0,4.5,0,1,1,285,304,20
AZ,1,48,0,0,0,0,1,1,0,16,1,1,3,0,1,1,392,399,7
AZ,1,38,1,0,0,0,0,0,1,16,1,1,13.2,0,1,1,542,589,45
AZ,1,50,0,0,1,0,1,0,1,12,0,1,4.1,0,0,1,422,444,20
AZ,1,43,0,0,0,0,1,1,0,16,1,1,3,0,1,1,327,344,15
AZ,1,21,0,0,0,1,0,0,1,13,0,0,2.5,1,0,1,785,799,15
AZ,1,63,0,0,0,0,1,1,0,14,0,0,5.4,0,1,1,392,404,13
AZ,1,45,0,0,1,0,1,1,0,9,0,0,2.4,0,0,1,422,434,10
AZ,1,25,0,0,0,0,1,0,1,16,1,0,5.815,0,1,1,605,624,20
AZ,1,31,1,0,0,0,0,1,0,12,0,0,0.06,0,1,1,845,889,45
AZ,1,57,0,0,0,0,1,0,1,14,0,1,7,0,1,1,467,484,15
AZ,1,28,0,0,0,0,0,0,1,12,0,1,1,0,1,1,587,609,20
AZ,1,30,0,0,0,0,1,1,0,16,1,1,4.81,0,1,1,422,434,10
AZ,1,58,0,0,0,0,1,0,1,16,1,1,7,0,1,1,392,439,45
AZ,1,42,0,0,0,0,1,0,1,16,1,1,7.4,0,1,1,367,409,40
AZ,1,57,0,0,0,0,1,0,1,16,1,0,4.1,0,1,1,387,419,30
AZ,1,59,0,0,0,0,1,0,1,14,0,0,6.15,0,1,1,392,424,30
AZ,1,55,0,0,0,0,1,0,1,14,0,0,4.88,0,1,1,377,394,15
AZ,1,34,0,0,1,0,0,0,1,11,0,0,3.7,1,1,1,815,844,30
AZ,1,54,0,0,0,0,1,0,1,16,1,0,23,0,1,1,965,989,25
AZ,1,36,0,0,1,0,0,0,1,12,0,0,2.8,0,1,1,512,559,45
AZ,1,29,0,0,1,0,1,0,1,12,0,0,1.95,0,1,1,635,659,25
AZ,1,58,0,0,0,0,1,1,0,16,1,1,0.67,0,1,1,715,749,30
AZ,1,33,0,0,1,0,1,1,0,12,0,1,3,0,1,1,1265,1289,25
AZ,1,25,0,0,0,0,1,0,1,16,1,0,10.03,0,1,1,497,514,15
AZ,1,52,0,0,0,0,1,1,0,16,1,1,0.1,0,1,1,995,1019,25
AZ,1,64,0,0,0,0,1,0,1,12,0,1,5.43,0,0,1,482,494,12
AZ,1,22,0,0,0,0,1,1,0,13,0,0,2.1,0,1,1,785,804,20
AZ,1,28,0,0,0,0,1,0,1,13,0,1,2.8,0,1,1,635,649,15
AZ,1,42,0,1,0,0,0,0,1,12,0,1,5.7,0,1,1,362,384,20
AZ,1,37,0,0,0,1,0,0,1,9,0,0,2.3,1,1,1,332,344,10
AZ,1,48,0,0,0,0,1,1,0,13,0,0,5.201,0,1,1,422,444,20
AZ,1,60,0,0,0,0,1,0,1,12,0,0,1.5,0,1,1,482,499,15
AZ,1,46,0,0,0,0,1,1,0,8,0,1,2.44,0,0,1,452,474,20
AZ,1,48,1,0,0,0,0,1,0,17,1,1,6,0,1,1,1115,1124,10
AZ,1,54,0,0,0,0,1,0,1,17,1,1,11.372,0,1,1,467,474,5
AZ,1,24,0,0,1,0,0,1,0,14,0,0,5,0,1,0,815,824,10
AR,0,59,0,0,0,0,1,1,0,12,0,1,2.5,1,1,1,332,349,15
AR,0,41,0,0,0,0,1,0,1,14,0,0,0.6,0,1,1,452,469,15
AR,0,19,0,0,1,0,0,1,0,12,0,0,0.6,0,1,1,362,374,10
AR,0,26,0,0,0,0,1,1,0,14,0,0,4.8,0,1,1,755,774,20
AR,0,47,0,0,0,0,1,1,0,12,0,1,4,0,1,1,407,419,10
AR,0,17,0,0,0,0,1,0,1,11,0,0,0.96,0,1,1,935,939,5
AR,0,60,0,0,0,0,1,1,0,12,0,1,3.86,0,1,1,472,489,15
AR,0,52,0,0,0,0,1,1,0,16,1,1,4.3,0,1,1,935,939,8
AR,0,40,0,0,0,0,1,0,1,12,0,1,5.8,0,1,1,905,914,10
AR,0,53,0,0,0,0,1,1,0,14,0,1,1.8,0,1,1,457,469,10
AR,0,59,0,0,0,0,1,0,1,13,0,1,8.82,0,1,1,362,379,15
